PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_CentralPV_326_na	.	CentralPV	Oahu	24580997.6	22.13602972	.
Oahu_CentralPV_327_na	.	CentralPV	Oahu	25401947.94	49.47670376	.
Oahu_CentralPV_328_na	.	CentralPV	Oahu	26243620.24	42.09746552	.
Oahu_CentralPV_329_na	.	CentralPV	Oahu	27086258.73	8.925791278	.
Oahu_CentralPV_32_na	.	CentralPV	Oahu	28499117.1	0.0269073	.
Oahu_CentralPV_330_na	.	CentralPV	Oahu	27938225.98	30.7646496	.
Oahu_CentralPV_331_na	.	CentralPV	Oahu	28808407.74	28.43096267	.
Oahu_CentralPV_332_na	.	CentralPV	Oahu	29676720.59	19.69731427	.
Oahu_CentralPV_333_na	.	CentralPV	Oahu	30552125.98	30.10190076	.
Oahu_CentralPV_334_na	.	CentralPV	Oahu	31443975.34	13.60976301	.
Oahu_CentralPV_335_na	.	CentralPV	Oahu	32331913.17	4.7832363	.
Oahu_CentralPV_336_na	.	CentralPV	Oahu	33225335.51	58.26210606	.
Oahu_CentralPV_337_na	.	CentralPV	Oahu	34123811.68	27.0371393	.
Oahu_CentralPV_338_na	.	CentralPV	Oahu	35037125.64	24.00827166	.
Oahu_CentralPV_339_na	.	CentralPV	Oahu	35944626.77	6.05005101	.
Oahu_CentralPV_33_na	.	CentralPV	Oahu	29012207.91	54.37469678	.
Oahu_CentralPV_340_na	.	CentralPV	Oahu	13544556.77	24.94749731	.
Oahu_CentralPV_341_na	.	CentralPV	Oahu	13256812.77	23.65891327	.
Oahu_CentralPV_342_na	.	CentralPV	Oahu	13037340.26	84.76622873	.
Oahu_CentralPV_343_na	.	CentralPV	Oahu	12888385.85	78.18803431	.
Oahu_CentralPV_344_na	.	CentralPV	Oahu	12815369.89	49.72237041	.
Oahu_CentralPV_345_na	.	CentralPV	Oahu	12819118.03	73.2627813	.
Oahu_CentralPV_346_na	.	CentralPV	Oahu	12898332.56	76.47907221	.
Oahu_CentralPV_347_na	.	CentralPV	Oahu	13053774.42	37.80718988	.
Oahu_CentralPV_348_na	.	CentralPV	Oahu	13279393.01	8.819299441	.
Oahu_CentralPV_349_na	.	CentralPV	Oahu	13576606.99	47.69164471	.
Oahu_CentralPV_34_na	.	CentralPV	Oahu	29317422.97	61.11939937	.
Oahu_CentralPV_350_na	.	CentralPV	Oahu	13934474.9	83.09759952	.
Oahu_CentralPV_351_na	.	CentralPV	Oahu	14351169.6	27.42619493	.
Oahu_CentralPV_352_na	.	CentralPV	Oahu	14827304.83	49.34714552	.
Oahu_CentralPV_353_na	.	CentralPV	Oahu	15347298.29	71.31167903	.
Oahu_CentralPV_354_na	.	CentralPV	Oahu	15917928.93	71.08152466	.
Oahu_CentralPV_355_na	.	CentralPV	Oahu	16521961.16	27.25419634	.
Oahu_CentralPV_356_na	.	CentralPV	Oahu	18539231.91	4.462778048	.
Oahu_CentralPV_357_na	.	CentralPV	Oahu	19271821.15	63.85532868	.
Oahu_CentralPV_358_na	.	CentralPV	Oahu	20018676.01	87.43744283	.
Oahu_CentralPV_359_na	.	CentralPV	Oahu	20794120.43	36.85651695	.
Oahu_CentralPV_35_na	.	CentralPV	Oahu	29649090.26	11.82168621	.
Oahu_CentralPV_360_na	.	CentralPV	Oahu	21578785.24	87.50500159	.
Oahu_CentralPV_361_na	.	CentralPV	Oahu	22379314.52	86.24854286	.
Oahu_CentralPV_362_na	.	CentralPV	Oahu	23203295.43	24.41066657	.
Oahu_CentralPV_363_na	.	CentralPV	Oahu	24030957.77	31.96007824	.
Oahu_CentralPV_364_na	.	CentralPV	Oahu	24870106.16	26.68967609	.
Oahu_CentralPV_365_na	.	CentralPV	Oahu	25729216.52	16.60847538	.
Oahu_CentralPV_366_na	.	CentralPV	Oahu	26588195.42	5.209374015	.
Oahu_CentralPV_367_na	.	CentralPV	Oahu	27455654.13	32.20848485	.
Oahu_CentralPV_368_na	.	CentralPV	Oahu	28340688.13	20.25106644	.
Oahu_CentralPV_369_na	.	CentralPV	Oahu	29222931.96	5.226846885	.
Oahu_CentralPV_36_na	.	CentralPV	Oahu	30401986.16	0.606279927	.
Oahu_CentralPV_370_na	.	CentralPV	Oahu	30111562.14	7.90605414	.
Oahu_CentralPV_371_na	.	CentralPV	Oahu	31016111.13	0.032804505	.
Oahu_CentralPV_372_na	.	CentralPV	Oahu	31915982.67	9.0681342	.
Oahu_CentralPV_373_na	.	CentralPV	Oahu	32820756.27	27.86000399	.
Oahu_CentralPV_374_na	.	CentralPV	Oahu	33730037.55	13.2228112	.
Oahu_CentralPV_375_na	.	CentralPV	Oahu	34653757.31	20.18740943	.
Oahu_CentralPV_376_na	.	CentralPV	Oahu	35571065.69	24.31094541	.
