PROJECT	proj_capacity_limit_mw
Oahu_CentralPV_227_na	44.79772939
Oahu_CentralPV_228_na	17.97995131
Oahu_CentralPV_229_na	4.000936454
Oahu_CentralPV_230_na	0.007857376
Oahu_CentralPV_231_na	0.913340655
Oahu_CentralPV_232_na	19.98511825
Oahu_CentralPV_233_na	23.15611835
Oahu_CentralPV_234_na	32.50161219
Oahu_CentralPV_235_na	11.15969548
Oahu_CentralPV_236_na	40.70747704
Oahu_CentralPV_237_na	41.93176287
Oahu_CentralPV_238_na	64.11554252
Oahu_CentralPV_239_na	45.64632276
Oahu_CentralPV_240_na	58.78872654
Oahu_CentralPV_241_na	61.74160418
Oahu_CentralPV_242_na	62.94880861
Oahu_CentralPV_243_na	70.06718715
Oahu_CentralPV_244_na	65.6366576
Oahu_CentralPV_245_na	81.55443696
Oahu_CentralPV_246_na	72.25246003
Oahu_CentralPV_247_na	19.84153854
Oahu_CentralPV_248_na	59.86760108
Oahu_CentralPV_249_na	86.25703803
Oahu_CentralPV_250_na	40.18999851
Oahu_CentralPV_251_na	72.35016702
Oahu_CentralPV_252_na	73.01684995
Oahu_CentralPV_253_na	66.10591121
Oahu_CentralPV_254_na	41.11331757
Oahu_CentralPV_255_na	39.21408308
Oahu_CentralPV_256_na	53.49236153
Oahu_CentralPV_257_na	52.08528172
Oahu_CentralPV_258_na	63.10774906
Oahu_CentralPV_259_na	64.27149221
Oahu_CentralPV_260_na	64.53937452
Oahu_CentralPV_261_na	49.94406202
Oahu_CentralPV_262_na	25.63710287
Oahu_CentralPV_263_na	0.379417211
Oahu_CentralPV_264_na	0.054274189
Oahu_CentralPV_265_na	1.21505094
Oahu_CentralPV_266_na	27.02261904
Oahu_CentralPV_267_na	41.6581718
Oahu_CentralPV_268_na	43.8827458
Oahu_CentralPV_269_na	88.19006816
Oahu_CentralPV_270_na	67.18069718
Oahu_CentralPV_271_na	36.30294163
Oahu_CentralPV_272_na	63.5261942
Oahu_CentralPV_273_na	85.64404266
Oahu_CentralPV_274_na	51.76661769
Oahu_CentralPV_275_na	78.30171503
Oahu_CentralPV_276_na	66.70994098
Oahu_CentralPV_277_na	61.70097318
Oahu_CentralPV_278_na	78.66512734
Oahu_CentralPV_279_na	62.93374767
Oahu_CentralPV_280_na	88.68969859
Oahu_CentralPV_281_na	63.08877804
Oahu_CentralPV_282_na	5.85960732
Oahu_CentralPV_283_na	14.42544179
Oahu_CentralPV_284_na	80.26309075
Oahu_CentralPV_285_na	67.68148649
Oahu_CentralPV_286_na	79.01523243
Oahu_CentralPV_287_na	88.6470879
Oahu_CentralPV_288_na	85.66619365
Oahu_CentralPV_289_na	42.335815
Oahu_CentralPV_290_na	59.55900915
Oahu_CentralPV_291_na	64.91847884
Oahu_CentralPV_292_na	52.06868609
Oahu_CentralPV_293_na	56.00004309
Oahu_CentralPV_294_na	48.23914747
Oahu_CentralPV_295_na	48.58134525
Oahu_CentralPV_296_na	55.34287463
Oahu_CentralPV_297_na	53.3258257
Oahu_CentralPV_298_na	15.62241137
Oahu_CentralPV_299_na	33.93099989
Oahu_CentralPV_300_na	28.55097093
Oahu_CentralPV_301_na	9.488612565
Oahu_CentralPV_302_na	55.37015876
Oahu_CentralPV_303_na	77.32057522
Oahu_CentralPV_304_na	70.98565917
Oahu_CentralPV_305_na	86.76468311
Oahu_CentralPV_306_na	88.4187353
Oahu_CentralPV_307_na	67.91333925
Oahu_CentralPV_308_na	61.88833633
Oahu_CentralPV_309_na	74.78293368
Oahu_CentralPV_310_na	55.88576308
Oahu_CentralPV_311_na	83.65937987
Oahu_CentralPV_312_na	88.68056164
Oahu_CentralPV_313_na	58.8668692
Oahu_CentralPV_314_na	49.00001573
Oahu_CentralPV_315_na	52.39055233
Oahu_CentralPV_316_na	58.841103
Oahu_CentralPV_317_na	82.90503648
Oahu_CentralPV_318_na	11.60876983
Oahu_CentralPV_319_na	5.421982205
Oahu_CentralPV_320_na	76.9430964
Oahu_CentralPV_321_na	88.48629175
Oahu_CentralPV_322_na	51.14415149
Oahu_CentralPV_323_na	87.07679201
Oahu_CentralPV_324_na	89.1092346
Oahu_CentralPV_325_na	86.73011715
Oahu_CentralPV_326_na	22.13602972
Oahu_CentralPV_327_na	49.47670376
Oahu_CentralPV_328_na	42.09746552
Oahu_CentralPV_329_na	8.925791278
Oahu_CentralPV_330_na	30.7646496
Oahu_CentralPV_331_na	28.43096267
Oahu_CentralPV_332_na	19.69731427
Oahu_CentralPV_333_na	30.10190076
Oahu_CentralPV_334_na	13.60976301
Oahu_CentralPV_335_na	4.7832363
Oahu_CentralPV_336_na	58.26210606
Oahu_CentralPV_337_na	27.0371393
Oahu_CentralPV_338_na	24.00827166
Oahu_CentralPV_339_na	6.05005101
Oahu_CentralPV_340_na	24.94749731
Oahu_CentralPV_341_na	23.65891327
Oahu_CentralPV_342_na	84.76622873
