timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-07-19-02:00	-715.739990234375	0.0	715.7399902343748
2007-07-19-03:00	-722.219970703125	0.0	722.2199707031248
2007-07-19-04:00	-768.789978027344	0.0	768.789978027344
2007-07-19-05:00	-868.580017089844	0.0	868.5800170898438
2007-07-19-06:00	-969.760009765625	0.0	969.7600097656248
2007-07-19-07:00	-1050.33996582031	0.0	1050.3399658203098
2007-07-19-08:00	-1123.83996582031	0.0	1123.83996582031
2007-07-19-09:00	-1175.09997558594	0.0	1175.0999755859398
2007-07-19-10:00	-1201.0	0.0	1200.9999999999998
2007-07-19-11:00	-1208.77001953125	0.0	1208.7700195312498
2007-07-19-12:00	-1221.81005859375	0.0	1221.8100585937498
2007-07-19-13:00	-1222.2900390625	0.0	1222.2900390624998
2007-07-19-14:00	-1225.71997070312	0.0	1225.7199707031198
2007-07-19-15:00	-1224.58996582031	0.0	1224.5899658203098
2007-07-19-16:00	-1203.46997070312	0.0	1203.46997070312
2007-07-19-17:00	-1182.21997070312	0.0	1182.2199707031198
2007-07-19-18:00	-1150.43994140625	0.0	1150.4399414062498
2007-07-19-19:00	-1174.34997558594	0.0	1174.3499755859398
2007-07-19-20:00	-1126.73999023438	0.0	1126.73999023438
2007-07-19-21:00	-1041.48999023438	0.0	1041.4899902343798
2007-07-19-22:00	-932.070007324219	0.0	932.0700073242188
2007-07-19-23:00	-831.77001953125	0.0	831.7700195312498
2007-08-06-00:00	-738.919982910156	0.0	738.919982910156
2007-08-06-01:00	-701.210021972656	0.0	701.210021972656
2007-08-06-02:00	-692.090026855469	0.0	692.0900268554688
2007-08-06-03:00	-700.460021972656	0.0	700.4600219726558
2007-08-06-04:00	-760.010009765625	0.0	760.010009765625
2007-08-06-05:00	-875.369995117188	0.0	875.3699951171877
2007-08-06-06:00	-994.570007324219	0.0	994.5700073242188
2007-08-06-07:00	-1064.69995117188	0.0	1064.6999511718798
2007-08-06-08:00	-1128.09997558594	0.0	1128.0999755859398
2007-08-06-09:00	-1173.75	0.0	1173.7499999999998
2007-08-06-10:00	-1197.43005371094	0.0	1197.4300537109398
2007-08-06-11:00	-1212.06994628906	0.0	1212.0699462890598
2007-08-06-12:00	-1218.31005859375	0.0	1218.3100585937498
2007-08-06-13:00	-1219.30004882812	0.0	1219.3000488281198
2007-08-06-14:00	-1217.0	0.0	1216.9999999999998
2007-08-06-15:00	-1210.06005859375	0.0	1210.06005859375
2007-08-06-16:00	-1195.55004882812	0.0	1195.55004882812
2007-08-06-17:00	-1179.27001953125	0.0	1179.27001953125
2007-08-06-18:00	-1164.2099609375	0.0	1164.2099609375
2007-08-06-19:00	-1199.34997558594	0.0	1199.3499755859398
2007-08-06-20:00	-1135.81005859375	0.0	1135.81005859375
2007-08-06-21:00	-1037.81994628906	0.0	1037.81994628906
2007-08-06-22:00	-912.700012207031	0.0	912.700012207031
2007-08-06-23:00	-811.47998046875	0.0	811.4799804687498
2007-08-30-00:00	-775.469970703125	0.0	775.469970703125
2007-08-30-01:00	-737.869995117188	0.0	737.869995117188
