site_id,grid_id,i,j,central_area,net_pv_capacity
640,E,82,70,192379.4314,17.31414882
641,E,82,71,228536.3484,20.56827135
642,E,82,72,19315.61137,1.738405023
643,E,82,73,545864.862,49.12783758
644,E,82,74,467201.9688,42.04817719
645,E,82,75,264133.2795,23.77199515
646,E,82,76,261711.895,23.55407055
647,E,82,77,14349.89435,1.291490492
648,E,82,78,226495.7414,20.38461672
649,E,82,79,42539.64624,3.828568161
650,E,82,80,15547.509,1.39927581
651,E,82,81,32980.4665,2.968241985
652,E,83,67,10748.385,0.96735465
653,E,83,68,78471.9985,7.062479865
654,E,83,69,446543.9027,40.18895124
655,E,83,70,626807.8584,56.41270726
656,E,83,71,314175.5136,28.27579623
657,E,83,72,120675.8605,10.86082744
658,E,83,73,355345.2454,31.98107209
659,E,83,74,90163.91877,8.114752689
660,E,83,76,109782.74,9.8804466
661,E,83,77,53772.831,4.83955479
662,E,83,78,68421.27724,6.157914952
663,E,83,79,544880.6707,49.03926036
664,E,83,80,74178.329,6.67604961
665,E,84,68,102765.418,9.24888762
666,E,84,69,456389.9052,41.07509147
667,E,84,70,85888.47239,7.729962515
668,E,84,77,394466.542,35.50198878
669,E,84,78,209672.841,18.87055569
670,E,85,64,9132.9175,0.821962575
671,E,85,65,36060.396,3.24543564
672,E,85,66,54471.29,4.9024161
673,E,85,68,13603.279,1.22429511
674,E,86,63,70.5585,0.006350265
675,E,86,64,273614.362,24.62529258
676,E,86,65,378815.8663,34.09342797
677,E,86,66,153476.5165,13.81288649
678,E,87,63,27896.0265,2.510642385
679,E,87,64,166293.3899,14.96640509
680,E,87,65,22268.6768,2.004180912
681,E,87,66,3176.035,0.28584315
682,E,87,67,30323.965,2.72915685
683,E,88,63,344.484,0.03100356
684,E,89,54,100,0.009
685,E,89,62,60431.439,5.43882951
686,E,89,63,38124.077,3.43116693
687,E,90,58,500,0.045
688,E,90,60,28280.8915,2.545280235
689,E,91,58,26231.53294,2.360837964
690,E,91,59,106770.9884,9.609388958
691,E,91,60,166436.7735,14.97930961
692,E,91,61,254329.7325,22.88967593
693,E,92,57,264.9005,0.023841045
694,E,92,58,58026.13044,5.222351739
695,E,92,59,33750.6957,3.037562613
696,E,92,60,115039.118,10.35352062
697,E,92,61,129592.051,11.66328459
698,E,93,56,14365.37883,1.292884094
699,E,93,57,52791.47085,4.751232377
700,E,93,60,111557.92,10.0402128
701,E,93,61,362719.2655,32.6447339
702,E,93,62,24800,2.232
703,E,94,56,320909.498,28.88185482
